feature,mean_value,std_value,min_value,max_value,skewness,kurtosis
feature_197,0.24656689,0.14506835,0.0,1.0,0.7541359,1.6615324
feature_198,0.24705887,0.14553115,0.0,1.0,0.7613731,1.6935759
feature_199,0.2472926,0.14587428,0.0,1.0,0.77665496,1.7624416
feature_2,0.1955904,0.07289343,0.12241466,0.3024178,0.49847022,-1.507716
feature_20,0.30932295,0.17396013,0.06957463,0.958218,0.45434457,-0.48425674
feature_21,0.3065786,0.17016841,0.054920714,0.9517745,0.3837326,-0.61041665
feature_22,0.30435738,0.16742668,0.04194815,0.94512963,0.3126198,-0.7374835
feature_23,0.3031786,0.16577384,0.03353637,0.92292976,0.24809915,-0.85939217
feature_24,0.30102575,0.16424085,0.026307575,0.89937073,0.19999208,-0.9565611
feature_25,0.2983179,0.162374,0.019718098,0.8849232,0.16230948,-1.0386953
feature_26,0.29685587,0.16077255,0.0149156805,0.8772716,0.123198606,-1.1246442
feature_27,0.29506606,0.15991925,0.012036244,0.8621193,0.091677204,-1.1992877
feature_28,0.29228228,0.15811047,0.009383338,0.83861065,0.080719166,-1.2442403
feature_29,0.28999636,0.15734537,0.00833627,0.81686383,0.06218751,-1.2963257
feature_3,0.20411187,0.07201957,0.12241466,0.30533084,0.1690586,-1.6352277
feature_30,0.28778598,0.15604231,0.006871382,0.7979864,0.05505386,-1.335766
feature_31,0.2855974,0.15605511,0.0076919203,0.77830356,0.045090113,-1.374975
feature_32,0.28352934,0.155193,0.007102945,0.7572615,0.047686834,-1.3982207
feature_33,0.28107613,0.15445392,0.0054316637,0.7361188,0.05164865,-1.4166017
feature_34,0.279166,0.15433504,0.0036899068,0.71568084,0.055839654,-1.4326608
feature_35,0.2774721,0.15417287,0.003418072,0.6945885,0.064197965,-1.441634
feature_36,0.27566925,0.15434514,0.003936572,0.67445254,0.0715697,-1.44837
feature_37,0.27366048,0.15397206,0.0016612132,0.6536119,0.08242896,-1.4483076
feature_38,0.27194265,0.1540793,0.0,0.63503647,0.09105598,-1.4498743
feature_39,0.2701793,0.154333,0.0,0.6161087,0.10072327,-1.4475008
feature_4,0.21556982,0.07803247,0.12241466,0.35414046,-0.047028188,-1.6983488
feature_40,0.26784074,0.1542321,0.0,0.6018629,0.11085206,-1.4406399
feature_41,0.2664287,0.15469758,0.0,0.60284567,0.11973482,-1.4348974
feature_42,0.26427814,0.15435699,0.0,0.6023192,0.12921213,-1.4223657
feature_43,0.2622133,0.15454517,0.0,0.6006346,0.13369024,-1.4166467
feature_44,0.26136637,0.15511115,0.0,0.6014067,0.14004949,-1.4077684
feature_45,0.25932539,0.15493017,0.0,0.60077494,0.14828964,-1.390355
feature_46,0.25693637,0.15471007,0.0,0.59807247,0.15459052,-1.3769015
feature_47,0.25524792,0.15506889,0.0,0.59610707,0.1611714,-1.3664025
feature_48,0.25374815,0.15512827,0.0,0.59435225,0.17017439,-1.3504177
feature_49,0.25190267,0.15487128,0.0,0.59115845,0.17621185,-1.3396634
feature_5,0.2294531,0.09104021,0.12279742,0.48356405,0.24335359,-0.92313695
feature_50,0.250727,0.15461569,0.0,0.590281,0.18204695,-1.3301345
feature_51,0.24945368,0.1539239,0.0,0.58993006,0.18807335,-1.3170067
feature_52,0.2480171,0.15383533,0.0,0.5872627,0.19117607,-1.3167342
feature_53,0.24605328,0.15346079,0.0,0.5851569,0.19781224,-1.308942
feature_54,0.24464491,0.15275377,0.0,0.58340204,0.20464547,-1.2977604
feature_55,0.24308781,0.15265907,0.0,0.5803837,0.21210685,-1.2924708
feature_56,0.24148592,0.15237157,0.0,0.5774005,0.219371,-1.2863566
feature_57,0.24003975,0.15144864,0.0,0.5763827,0.22586705,-1.2747891
feature_58,0.23904829,0.15169795,0.0,0.5730134,0.23481195,-1.2720432
feature_59,0.23712951,0.15066318,0.0,0.5723817,0.24156524,-1.2615505
feature_6,0.2437962,0.1105052,0.12296146,0.6252706,0.73550534,0.38880992
feature_60,0.23531708,0.1494462,0.0,0.5723817,0.24712361,-1.2523128
feature_61,0.23469101,0.1490086,0.0,0.5691528,0.25082058,-1.2554151
feature_62,0.2345158,0.14826518,0.0,0.58760405,0.25441694,-1.2536211
feature_63,0.233952,0.14742655,0.0,0.66180474,0.25850344,-1.2527487
feature_64,0.23313905,0.14594392,0.0,0.6637185,0.25994167,-1.2526871
feature_65,0.2332902,0.14542215,0.0,0.64786136,0.2621358,-1.2609003
